nome,endereco,cidade,estado,latitude,longitude,imagem_url,fonte_url,detalhe_url,petisco_descricao,telefone,horario,maps_url
Beco Restaurante,"R. dos Tamoios, 232 | Centro, Belo Horizonte – MG",Belo Horizonte,MG,-19.9182822,-43.9477147,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111807/becorestaurante_verdequetequerorabo_bh_2026_pauloti_unibh-4495.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/beco-restaurante/,"Verde que te quero rabo! Rabada desfiada com cuscuz, acompanhada de vinagrete de alho-poró e creme verde de agrião.",3132721489,Segunda-feira: 11h – 22h20 | Terça-feira: 11h – 22h20 | Quarta-feira: 11h – 22h20 | Quinta-feira: 11h – 22h20 | Sexta-feira: 11h – 22h20 | Sábado: 11h – 22:20,"https://www.google.com/maps/search/?api=1&query=R. dos Tamoios, 232 | Centro, Belo Horizonte - MG"
Bella Bar e Restaurante,"Rua dos Odontólogos, 422 | Alípio de Melo, Belo Horizonte – MG",Belo Horizonte,MG,-19.8910583,-44.0047802,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111809/bellabar_bellomurro_bh_2026_pauloti_unibh-4781.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/bella-bar-e-restaurante/,"Bello Murro Batatinhas ao murro, douradas na manteiga com mostarda, cobertas com pernil desfiado, repolho-roxo e farofa crocante de quiabo com calabresa e passas.",31992100144,Segunda-feira: 16h – 22h30 | Terça-feira: 16h – 22h30 | Quarta-feira: 16h – 22h30 | Quinta-feira: 16h – 22h30 | Sexta-feira: 16h – 22h30 | Sábado: 14h – 22h30,"https://www.google.com/maps/search/?api=1&query=Rua dos Odontólogos, 422 | Belo Horizonte - MG"
Boi Major,"R. Major Lopes, 7 | São Pedro, Belo Horizonte – MG",Belo Horizonte,MG,-19.9474918,-43.9354287,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111810/boimajor_nacifcorrea_bh_2026_rodneycosta_unibh-4323.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/boi-major/,"Nascif Corrêa Musseline de couve-flor, ragu de lombo defumado desconstruído, chucrute de repolho e semente de gergelim, acompanhada de nachos.",3199926162431971051326,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 22h,"https://www.google.com/maps/search/?api=1&query=R. Major Lopes, 7 | São Pedro, Belo Horizonte - MG"
Boteco 86,"R. Jacarina, 86 | Padre Eustáquio, Belo Horizonte – MG",Belo Horizonte,MG,-19.913254,-43.9719321,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111812/boteco86_tremdeminas_bh_2026_pauloti_unibh-4902.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/boteco-86/,Trem de Minas Bolinho de aipim recheado com torresmo de barriga desfiado e couve. Acompanha maionese de limão.,31996479898,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 12h – 0h | Domingo: 12h – 0h,"https://www.google.com/maps/search/?api=1&query=R. Jacarina, 86 | Padre Eustáquio, Belo Horizonte - MG"
Botequim Buritis,"Rua Vitório Magnavacca, 39 | Buritis, Belo Horizonte – MG",Belo Horizonte,MG,-19.9698998,-43.965677,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111914/botequimburitis_boibumba_bh_2026_pauloti_unibh-4077.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/botequim-buritis/,"Boi Bumbá Carne de boi cozida ao molho de alho-poró, batata e bacon.",3131664333,Segunda-feira: 17h – 0h | Terça-feira: 17h – 0h | Quarta-feira: 17h – 0h | Quinta-feira: 17h – 0h | Sexta-feira: 17h – 0h | Sábado: 11h – 0h | Domingo: 11h – 23h,"https://www.google.com/maps/search/?api=1&query=Rua Vitório Magnavacca, 39 | Buritis, Belo Horizonte - MG"
Buteco do Lili,"R. Líbero Badaró, 493 | Dona Clara, Belo Horizonte – MG",Belo Horizonte,MG,,,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111916/botecodolele_saboresdavomaria_isabelaaraujo_unibh-3258.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/3151-autosave-v1/,Sabores de Vó Maria Costelinha ao molho de cerveja preta com rapadura acompanhada de canjiquinha cremosa e couve crispy.,3135825246,Segunda-feira: 12h – 23h | Terça-feira: 12h – 23h | Quarta-feira: 12h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 22h | Domingo: 12h – 22h,"https://www.google.com/maps/search/?api=1&query=R. Líbero Badaró, 493 | Dona Clara, Belo Horizonte - MG"
Buteco Tô D'Boa,"Av. Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte – MG",Belo Horizonte,MG,,,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111918/butecotodeboa_escondidinhotodeboa_bh_2026_rodneycosta_unibh-3587.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/buteco-to-dboa/,"Escondidão Tô D' Boa Pernil cozido com molho especial, creme de batata com queijo muçarela, couve agridoce.",31991871649,Segunda-feira: 16h – 23h | Quarta-feira: 16h – 23h | Quinta-feira: 16h – 23h | Sexta-feira: 16h – 23h | Sábado: 11h – 23h,"https://www.google.com/maps/search/?api=1&query=Av. Virgílio de Melo Franco, 400 | Jardim Atlântico, Belo Horizonte - MG"
Buteco's Bar,"R. Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte – MG",Belo Horizonte,MG,,,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111920/butecosbar_nuhderochavei_bh_2026_rodneycosta_unibh-5132.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/4/,https://comidadibuteco.com.br/buteco/3145-revision-v1/,"Nuhhh!!! de Rocha véi Escondidim de carne de panela ao moio de cerveja preta com agrião, coberto com trem de um purê de couve-flor que nuhhh!. E, para ficar ainda mió, pra terminar, um queijinho gratinadim por cima de tudim. Vai tamém um pãozinho quentim e farofinha de vó, para aproveitar até o final.",31992586505,Terça-feira: 17h30 – 23h | Quarta-feira: 17h30 – 23h | Quinta-feira: 17h30 – 23h | Sexta-feira: 17h30 – 23h30 | Sábado: 13h – 23h30 | Domingo: 12h – 20h,"https://www.google.com/maps/search/?api=1&query=R. Ernesto Braga, 2 | Jardim Atlântico, Belo Horizonte - MG"
Butiquim 325,"Avenida Francisco Sá, 325 | Prado, Belo Horizonte – MG",Belo Horizonte,MG,-19.9296111,-43.9598277,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09111922/butiquim325_quitutiarabe_bh_2026_vicentealexandre_unibh-3630.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/butiquim-325/,"Quituti Árabe Charuto de repolho recheado com arroz, carne moída e especiarias. Acompanhado de disco de kafta grelhado com molho da casa.",31992578781,Terça-feira: 17h – 23h30 | Quarta-feira: 17h – 23h30 | Quinta-feira: 17h – 23h30 | Sexta-feira: 17h – 23h30 | Sábado: 12h – 23h30 | Domingo: 12h – 19h30,"https://www.google.com/maps/search/?api=1&query=Avenida Francisco Sá, 325 |Belo Horizonte - MG"
Butiquim On Cê Tá?,"Av. Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte – MG",Belo Horizonte,MG,-19.8297749,-43.9599273,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09112024/butiquimonceta_linguadobradacomchampignonepuredecouveflor_bh_2026_rodneycosta_unibh-4256.jpg,https://comidadibuteco.com.br/butecos/belo-horizonte/page/5/,https://comidadibuteco.com.br/buteco/butiquim-on-ce-ta/,"Língua Dobrada Língua com dobradinha bovina, pele suína e champignon. Acompanha: purê de couve-flor.",31991834727,Terça-feira: 17h – 23h | Quarta-feira: 17h – 23h | Quinta-feira: 17h – 23h | Sexta-feira: 17h – 23h | Sábado: 13h – 23h | Domingo: 12h – 20h,"https://www.google.com/maps/search/?api=1&query=Av. Gen. Olímpio Mourão Filho, 754 | Itapoã, Belo Horizonte - MG"
